time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.733507	0.62763	7.2482	3.97146e-17	-6.10892e-19	radar	73.5871	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16053	0.494835	7.25148	-0.126974	-0.0118285	lidar	0.219141	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25649	0.535316	7.23454	0.125369	0.03068	radar	1.83122	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61674	0.595535	7.24992	0.160045	0.0457678	lidar	0.157415	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.84798	0.56872	5.95992	0.0486632	-0.192894	radar	6.81729	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16115	0.5945	5.96931	0.0517164	-0.147913	lidar	0.216724	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3783	0.652949	5.44864	0.112655	0.067832	radar	5.81503	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64876	0.681007	5.4523	0.111139	0.0440248	lidar	0.0140096	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91966	0.661632	5.40504	0.0324576	-0.299661	radar	0.506796	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.1517	0.660815	5.35727	0.0195022	-0.289739	lidar	1.12342	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44559	0.52837	5.44111	-0.186842	-0.937686	radar	3.19652	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74287	0.442488	5.5091	-0.277536	-1.07155	lidar	2.1568	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02201	0.554619	5.46768	-0.10575	-0.449697	radar	7.55497	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29547	0.533313	5.46239	-0.117522	-0.422868	lidar	0.122979	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.54894	0.594455	5.29392	-0.0501637	-0.220132	radar	2.58053	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73124	0.646104	5.10996	0.00236718	-0.0841992	lidar	11.379	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98333	0.64317	5.01153	-0.0055414	-0.0910603	radar	0.903456	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28139	0.641615	5.09491	-0.0120833	-0.0953001	lidar	3.01629	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54199	0.65359	5.25592	-0.0036605	-0.0724971	radar	2.0606	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84022	0.662846	5.31673	-0.00115072	-0.0629173	lidar	1.87323	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.0835	0.560884	5.14378	-0.0713948	-0.166465	radar	5.59101	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33942	0.624919	5.12633	-0.0273569	-0.0896182	lidar	5.86506	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58763	0.685448	5.07048	0.00878717	-0.0328677	radar	2.37339	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83125	0.693016	5.05235	0.0105434	-0.0282329	lidar	0.15304	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.07265	0.672385	4.88428	-0.00401125	-0.0451753	radar	1.67324	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.28696	0.729472	4.82462	0.0252585	-0.0061278	lidar	4.08814	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.58691	0.746296	5.17353	0.0301314	-0.000129631	radar	5.38273	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83887	0.747077	5.16238	0.0267835	-0.00391212	lidar	0.102914	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.08573	0.776044	4.98267	0.0370275	0.00752247	radar	2.49819	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.3204	0.796699	4.95699	0.0429691	0.0136453	lidar	0.38534	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59146	0.932627	5.2465	0.0999397	0.0731124	radar	15.6679	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83486	0.977833	5.21599	0.112134	0.0820349	lidar	0.699216	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12702	1.0196	5.27327	0.120494	0.0860906	radar	6.80154	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36715	1.05167	5.2348	0.125359	0.0867968	lidar	0.657363	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64652	1.14864	5.30294	0.154695	0.111054	radar	6.79158	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92999	1.2431	5.3524	0.180286	0.130165	lidar	3.04388	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1735	1.34772	5.11856	0.209875	0.152226	radar	7.23314	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3952	1.41451	5.0719	0.223447	0.158008	lidar	1.24364	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6243	1.49606	4.85649	0.242264	0.168327	radar	3.31013	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8393	1.53434	4.8126	0.244092	0.162377	lidar	0.989586	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.111	1.57252	5.00447	0.241709	0.152517	radar	3.15936	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3911	1.62886	5.06886	0.245486	0.148824	lidar	2.04297	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.622	1.67339	4.97408	0.247791	0.144231	radar	0.815171	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8492	1.73771	4.95138	0.256756	0.145871	lidar	0.267022	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1076	1.84223	5.14081	0.276369	0.156904	radar	2.97467	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3499	1.8862	5.11974	0.275141	0.148704	lidar	0.630885	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6083	1.94162	5.22873	0.276016	0.142632	radar	0.946903	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8157	2.04944	5.17051	0.298656	0.156758	lidar	3.55205	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0838	2.18008	5.3589	0.322462	0.171048	radar	5.32449	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2963	2.29825	5.30575	0.345199	0.183966	lidar	3.00196	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.467	2.45841	4.95153	0.385926	0.213306	radar	20.2157	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7179	2.56779	4.99893	0.399622	0.216033	lidar	0.918489	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9384	2.67245	4.96292	0.413533	0.218923	radar	0.260458	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
